0,1,2,3,4,5,6,,
2,3,0,0,0,0,0,0.09622504,0
2,2,0,1,0,0,0,0.16666667,0
2,1,1,0,1,0,0,0.16666667,0
2,1,0,2,0,0,0,0.16666667,0
2,1,0,0,1,0,1,0.16666667,0
2,0,3,0,0,0,0,0.09622504,0
2,0,2,0,0,0,1,0.16666667,0
2,0,1,1,1,0,0,0.16666667,0
2,0,1,0,0,0,2,0.16666667,0
2,0,0,3,0,0,0,0.09622504,0
2,0,0,1,1,0,1,0.16666667,0
2,0,0,0,3,0,0,-0.27216553,0
2,0,0,0,0,0,3,0.09622504,0
1,3,1,0,0,0,0,0.04811252,0
0,3,1,0,0,1,0,-0.04811252,0
1,2,1,1,0,0,0,0.08333333,0
0,2,1,1,0,1,0,-0.08333333,0
1,1,2,0,1,0,0,0.11785113,0
0,1,2,0,1,1,0,-0.11785113,0
1,1,1,2,0,0,0,0.08333333,0
0,1,1,2,0,1,0,-0.08333333,0
1,0,4,0,0,0,0,0.09622504,0
0,0,4,0,0,1,0,-0.09622504,0
1,0,3,0,0,0,1,0.09622504,0
0,0,3,0,0,1,1,-0.09622504,0
1,0,2,1,1,0,0,0.11785113,0
0,0,2,1,1,1,0,-0.11785113,0
1,0,1,3,0,0,0,0.04811252,0
0,0,1,3,0,1,0,-0.04811252,0
1,0,1,0,3,0,0,-0.13608276,0
0,0,1,0,3,1,0,0.13608276,0
1,0,1,0,0,0,3,-0.09622504,0
0,0,1,0,0,1,3,0.09622504,0
0,3,0,0,0,2,0,-0.09622504,0
0,2,0,1,0,2,0,-0.16666667,0
0,1,1,0,1,2,0,-0.16666667,0
0,1,0,2,0,2,0,-0.16666667,0
0,1,0,0,1,2,1,-0.16666667,0
0,0,3,0,0,2,0,-0.09622504,0
0,0,2,0,0,2,1,-0.16666667,0
0,0,1,1,1,2,0,-0.16666667,0
0,0,1,0,0,2,2,-0.16666667,0
0,0,0,3,0,2,0,-0.09622504,0
0,0,0,1,1,2,1,-0.16666667,0
0,0,0,0,3,2,0,0.27216553,0
0,0,0,0,0,2,3,-0.09622504,0
1,3,0,0,0,0,1,-0.04811252,0
0,3,0,0,0,1,1,0.04811252,0
1,2,0,1,0,0,1,-0.08333333,0
0,2,0,1,0,1,1,0.08333333,0
1,1,0,2,0,0,1,-0.08333333,0
0,1,0,2,0,1,1,0.08333333,0
1,1,0,0,1,0,2,-0.11785113,0
0,1,0,0,1,1,2,0.11785113,0
1,0,0,3,0,0,1,-0.04811252,0
0,0,0,3,0,1,1,0.04811252,0
1,0,0,1,1,0,2,-0.11785113,0
0,0,0,1,1,1,2,0.11785113,0
1,0,0,0,3,0,1,0.13608276,0
0,0,0,0,3,1,1,-0.13608276,0
1,0,0,0,0,0,4,-0.09622504,0
0,0,0,0,0,1,4,0.09622504,0
