0,1,2,3,4,5,6,,
2,3,0,0,0,0,0,0.05555556,0
1,4,0,0,0,0,0,0.11111111,0
1,3,0,1,0,0,0,0.11111111,0
1,3,1,0,0,0,0,0.02777778,0
1,2,1,1,0,0,0,0.04811252,0
2,2,0,1,0,0,0,0.09622504,0
1,3,0,0,0,0,1,-0.02777778,0
1,2,0,1,0,0,1,-0.04811252,0
1,1,1,2,0,0,0,0.04811252,0
2,1,1,0,1,0,0,0.09622504,0
1,2,1,0,1,0,0,0.13608276,0
2,1,0,2,0,0,0,0.09622504,0
1,1,0,3,0,0,0,-0.11111111,0
1,1,0,2,0,0,1,-0.04811252,0
2,1,0,0,1,0,1,0.09622504,0
1,2,0,0,1,0,1,0.13608276,0
2,0,3,0,0,0,0,0.05555556,0
1,1,3,0,0,0,0,0.05555556,0
1,0,3,1,0,0,0,-0.05555556,0
1,1,2,0,1,0,0,0.06804138,0
1,0,2,1,1,0,0,0.06804138,0
2,0,2,0,0,0,1,0.09622504,0
1,1,2,0,0,0,1,0.09622504,0
1,0,2,1,0,0,1,-0.09622504,0
1,0,1,3,0,0,0,0.02777778,0
2,0,1,1,1,0,0,0.09622504,0
1,0,1,2,1,0,0,-0.13608276,0
2,0,1,0,0,0,2,0.09622504,0
1,1,1,0,0,0,2,0.09622504,0
1,0,1,1,0,0,2,-0.09622504,0
2,0,0,3,0,0,0,0.05555556,0
1,0,0,4,0,0,0,-0.11111111,0
1,0,0,3,0,0,1,-0.02777778,0
2,0,0,1,1,0,1,0.09622504,0
1,0,0,2,1,0,1,-0.13608276,0
2,0,0,0,3,0,0,-0.15713484,0
1,1,0,0,3,0,0,-0.15713484,0
1,0,0,1,3,0,0,0.15713484,0
1,1,0,0,1,0,2,-0.06804138,0
1,0,0,1,1,0,2,-0.06804138,0
2,0,0,0,0,0,3,0.05555556,0
1,1,0,0,0,0,3,0.05555556,0
1,0,0,1,0,0,3,-0.05555556,0
0,4,1,0,0,0,0,0.07856742,0
0,3,1,1,0,0,0,0.07856742,0
0,3,1,0,0,1,0,-0.02777778,0
0,2,1,1,0,1,0,-0.04811252,0
0,2,1,0,1,1,0,0.13608276,0
0,1,3,0,0,1,0,0.05555556,0
0,2,2,0,1,0,0,0.13608276,0
0,1,2,0,1,1,0,-0.06804138,0
0,1,2,0,0,1,1,0.09622504,0
0,1,1,3,0,0,0,-0.07856742,0
0,1,1,2,0,1,0,-0.04811252,0
0,1,1,0,0,1,2,0.09622504,0
1,0,4,0,0,0,0,0.05555556,0
0,1,4,0,0,0,0,0.07856742,0
0,0,4,1,0,0,0,-0.07856742,0
0,0,4,0,0,1,0,-0.05555556,0
0,0,3,1,0,1,0,-0.05555556,0
1,0,3,0,0,0,1,0.05555556,0
0,1,3,0,0,0,1,0.07856742,0
0,0,3,1,0,0,1,-0.07856742,0
0,0,3,0,0,1,1,-0.05555556,0
0,0,2,2,1,0,0,-0.13608276,0
0,0,2,1,1,1,0,-0.06804138,0
0,0,2,1,0,1,1,-0.09622504,0
0,0,1,4,0,0,0,-0.07856742,0
0,0,1,3,0,1,0,-0.02777778,0
0,0,1,2,1,1,0,-0.13608276,0
0,0,1,1,0,1,2,-0.09622504,0
1,0,1,0,3,0,0,-0.07856742,0
0,1,1,0,3,0,0,-0.11111111,0
0,0,1,1,3,0,0,0.11111111,0
0,0,1,0,3,1,0,0.07856742,0
1,0,1,0,0,0,3,-0.05555556,0
0,1,1,0,0,0,3,-0.07856742,0
0,0,1,1,0,0,3,0.07856742,0
0,0,1,0,0,1,3,0.05555556,0
0,4,0,0,0,1,0,0.11111111,0
0,3,0,1,0,1,0,0.11111111,0
0,3,0,0,0,2,0,-0.05555556,0
0,2,0,1,0,2,0,-0.09622504,0
0,3,0,0,0,1,1,0.02777778,0
0,2,0,1,0,1,1,0.04811252,0
0,1,1,0,1,2,0,-0.09622504,0
0,1,0,3,0,1,0,-0.11111111,0
0,1,0,2,0,2,0,-0.09622504,0
0,1,0,2,0,1,1,0.04811252,0
0,2,0,0,1,1,1,0.13608276,0
0,1,0,0,1,2,1,-0.09622504,0
0,0,3,0,0,2,0,-0.05555556,0
0,0,2,0,0,2,1,-0.09622504,0
0,0,1,1,1,2,0,-0.09622504,0
0,0,1,0,0,2,2,-0.09622504,0
0,0,0,4,0,1,0,-0.11111111,0
0,0,0,3,0,2,0,-0.05555556,0
0,0,0,3,0,1,1,0.02777778,0
0,0,0,2,1,1,1,-0.13608276,0
0,0,0,1,1,2,1,-0.09622504,0
0,1,0,0,3,1,0,-0.15713484,0
0,0,0,1,3,1,0,0.15713484,0
0,0,0,0,3,2,0,0.15713484,0
0,1,0,0,1,1,2,0.06804138,0
0,0,0,1,1,1,2,0.06804138,0
0,1,0,0,0,1,3,0.05555556,0
0,0,0,1,0,1,3,-0.05555556,0
0,0,0,0,0,2,3,-0.05555556,0
0,4,0,0,0,0,1,-0.07856742,0
0,3,0,1,0,0,1,-0.07856742,0
0,1,0,3,0,0,1,0.07856742,0
0,2,0,0,1,0,2,-0.13608276,0
0,0,0,4,0,0,1,0.07856742,0
0,0,0,2,1,0,2,0.13608276,0
1,0,0,0,3,0,1,0.07856742,0
0,1,0,0,3,0,1,0.11111111,0
0,0,0,1,3,0,1,-0.11111111,0
0,0,0,0,3,1,1,-0.07856742,0
1,0,0,0,0,0,4,-0.05555556,0
0,1,0,0,0,0,4,-0.07856742,0
0,0,0,1,0,0,4,0.07856742,0
0,0,0,0,0,1,4,0.05555556,0
